Time,Currency,Impact,Event,Actual,Forecast,Previous,Gmt time,Open,High,Low,Close,Volume,Low Impact,Medium Impact,High Impact
29.05.2020 01:30:00.00,AUD,Low Impact Expected,Private Sector Credit m/m,0.00%,0.60%,1.10%,0.66308,0.66308,0.66295,0.66297,115.38,'Actual' greater than 'Forecast' is good for currency;,1,0,0
29.05.2020 05:00:00.00,JPY,Low Impact Expected,Housing Starts y/y,-12.90%,-12.00%,-7.60%,107.139,107.165,107.135,107.135,169.31,'Actual' greater than 'Forecast' is good for currency;,1,0,0
29.05.2020 05:02:00.00,JPY,Low Impact Expected,Consumer Confidence,24,21.3,21.6,107.177,107.194,107.176,107.192,144.36,'Actual' greater than 'Forecast' is good for currency;,1,0,0
29.05.2020 06:00:00.00,EUR,Low Impact Expected,German Import Prices m/m,-1.80%,-1.50%,-3.50%,1.11006,1.11042,1.11006,1.11029,260.66,'Actual' greater than 'Forecast' is good for currency;,2,0,0
29.05.2020 06:00:00.00,EUR,Low Impact Expected,German Retail Sales m/m,-5.30%,-12.00%,-4.00%,1.11006,1.11042,1.11006,1.11029,260.66,'Actual' greater than 'Forecast' is good for currency;,2,0,0
29.05.2020 06:45:00.00,EUR,Low Impact Expected,French Consumer Spending m/m,-20.20%,-14.50%,-16.90%,1.10927,1.10927,1.10908,1.10924,91.08,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 06:45:00.00,EUR,Low Impact Expected,French Prelim CPI m/m,0.00%,0.10%,0.00%,1.10927,1.10927,1.10908,1.10924,91.08,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 06:45:00.00,EUR,Low Impact Expected,French Prelim GDP q/q,-5.30%,-5.80%,-5.80%,1.10927,1.10927,1.10908,1.10924,91.08,'Actual' greater than 'Forecast' is good for currency;,3,0,0
29.05.2020 07:00:00.00,CHF,Low Impact Expected,KOF Economic Barometer,53.2,70.2,59.7,0.96329,0.96339,0.96297,0.96297,172.42,'Actual' greater than 'Forecast' is good for currency;,1,0,0
29.05.2020 08:00:00.00,EUR,Low Impact Expected,M3 Money Supply y/y,8.30%,8.10%,7.50%,1.11049,1.11069,1.11040,1.11064,271.79,'Actual' greater than 'Forecast' is good for currency;,2,0,0
29.05.2020 08:00:00.00,EUR,Low Impact Expected,Private Loans y/y,3.00%,3.50%,3.40%,1.11049,1.11069,1.11040,1.11064,271.79,'Actual' greater than 'Forecast' is good for currency;,2,0,0
